tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,jumlah_luas_wilayah_(km2),jumlah_kepadatan_(jiwa/km2),,
2019,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,0.62,11373.59098,,
2019,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,2.58,2776.724572,,
2019,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,2.45,1080.418437,,
2019,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,1.03,2425.862907,, 
2019,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,1.07,5608.980355,,
2019,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,0.95,3841.598816,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,2.58,1213.411801,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,1.26,15150.34024,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,1.12,19610.15737,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,1.14,16217.42958,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,0.78,16446.863,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,0.71,35962.38156,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,1.89,8405.398254,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,0.51,65140.9002,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,0.57,49459.50704,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,1.9,10902.62034,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,1.29,27627.23681,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,0.53,49727.87821,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,1.16,32689.81601,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,0.53,54802.61927,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SERDANG,0.82,46256.84057,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,1.53,15860.87524,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,0.99,42498.74157,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,1.15,25278.50305,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,0.54,69558.53771,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,0.81,10707.04574,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,0.92,12762.84153,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,0.71,41708.4442,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,0.71,51251.58741,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KWITANG,0.45,43480.98434,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,0.63,36863.02682,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,2.23,13315.81312,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,1.22,36745.71264,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,1.25,21824.4489,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,2.44,13003.85372,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,0.98,29721.11959,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,0.82,12677.54903,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,1.46,3389.109861,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,0.83,18791.36691,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,2.59,1529.73411,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,1.58,17057.41022,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,1.53,15873.68833,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,0.9,48117.64706,,
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,1.26,32771.63098,,
